task_identifier,task_description,task_app,golden_steps,task_difficulty,备注
9rp9qyjqli4vicbz,"Open Clock app, navigate to the Alarm page, tap on the 6:30 alarm settings, then select the BeeBeep Alarm option to change the alarm sound",['Clock'],10,1,
vyb2t75znxi3abvc,"Open Clock app, navigate to Bedtime page, then tap the 'Continue' button to enable bedtime activity tracking",['Clock'],10,1,
t36mgd0w46793j8p,"Open Clock app, navigate to Alarm section, then tap the add button to create a new alarm",['Clock'],10,1,
jjhygtos6cw3xbe1,"Open Clock app, navigate to the Alarm page, then tap the collapse arrow button to minimize the 06:30 weekday alarm details",['Clock'],10,1,
790fyk0h3jnvkmjb,"Open Clock app, navigate to the Alarm page, then tap on the Vibrate option to toggle vibration settings",['Clock'],10,1,
gafth4ku2x9e08in,"Open Clock app, navigate to Alarm sound page, then select 'Silent' option to complete silent alarm configuration",['Clock'],10,1,
s03wx0tzk9smribh,"Open Clock app, navigate to Alarm page, then press the delete button to remove an alarm",['Clock'],10,1,
mcku71ps6xi6tiva,"Open Clock app, navigate to Stopwatch page, then tap the start button to begin timing",['Clock'],10,1,
c34f2wh5lvd42fdr,"Open Clock app, navigate to Alarm page, select an existing alarm, then disable the Vibrate setting and enable Google Assistant Routine to complete the alarm configuration",['Clock'],20,2,
a2hswdndlxsng0pp,"Open Clock app, navigate to Bedtime page, first set up the default sleep schedule showing 8 hours, then test the current sleep sound by tapping the play button next to 'Waves'",['Clock'],20,2,
tqn2i4u34csn1je4,"Open Clock app, navigate to the Alarm tab to view alarm settings",['Clock'],10,1,
mfo6ethor5ot2q8n,"Open Clock app, navigate to the Alarm page, then toggle the vibrate setting to enable vibration for alarms",['Clock'],10,1,
jfcy0h0upwyq964y,"Open Clock app, navigate to the Alarm page, then tap on the existing 6:30 alarm to access its settings",['Clock'],10,1,
tlk28gxwnoqbf01k,"Open Clock app, navigate to Bedtime page, then tap the bedtime time (23:00) to modify the sleep schedule start time",['Clock'],10,1,
pswexuj50xvgysq9,"Open Clock app, navigate to the Alarm page, then tap the 'Screen saver' option from the menu to access screensaver settings",['Clock'],10,1,
pj9376q6v84mds6y,"Open Clock app, first start the stopwatch on the Stopwatch page to record some time, then tap the reset button to return to zero",['Clock'],10,1,
7co8evt5i3tx1hi6,"Open Clock app, navigate to Bedtime page, then tap 'Choose another sound' button to access additional sleep sound options",['Clock'],10,1,
o017ra2iqendjtt5,"Open Clock app, navigate to Bedtime page, then tap 'No thanks' to decline bedtime activity tracking",['Clock'],10,1,
ucn0ee4zbimzlpd3,"Open Clock app, navigate to Alarm page, and tap on 'Beep-Beep-Beep Alarm' option to access alarm sound settings",['Clock'],10,1,
arxlwuccxymuqd9q,"Open Clock app, navigate to the Alarm page, then tap on the 'Add label' option in an expanded alarm's settings",['Clock'],10,1,
n5vqc2mqicg4iv7a,"Open Clock app, navigate to Bedtime page, first configure the sleep schedule to show next alarm on Tuesday, then decline bedtime activity tracking by selecting 'No thanks' in the dialog",['Clock'],20,2,
l2fjyetmjcm3a680,"Open Clock app, navigate to the Alarm page, then tap the toggle switch to turn off the 06:30 weekday alarm to disable it",['Clock'],10,1,
7uvu3pwg98zk2pvr,"Open Clock app, navigate to the Timer tab to access timer functionality",['Clock'],10,1,
0macsuh0rmnrnxqs,"Open Clock app, navigate to Bedtime page, then tap the play button next to 'Waves' to preview the sleep sound",['Clock'],10,1,
oxh8y11otm3s65hs,"Open Clock app, navigate to Clock page, then tap the plus button to add a new world clock for Paris to complete the world clock expansion",['Clock'],20,2,
nhkhkvdxflou01xt,"Open Clock app, navigate to the Clock page and tap the plus button to add a new world clock",['Clock'],10,1,
p3p32jncimf4yojd,"Open Clock app, navigate to the Alarm page, then toggle off an active alarm using the switch",['Clock'],10,1,
smtej35bwqdrkw20,"Open Clock app, navigate to the Alarm page, then enable vibrate option for an existing alarm to complete alarm customization",['Clock'],10,1,
pnwgpyh09knhdwbx,"Open Clock app, navigate to the Alarm page, then tap the add button (+) to create a new alarm",['Clock'],10,1,
fweahozals84sti5,"Open Clock app, navigate to the Alarm page, then create a new alarm by tapping the plus button",['Clock'],10,1,
luz6xin8kl64oon8,"Open Clock app, navigate to the Bedtime tab and tap on one of the weekday buttons to toggle it off",['Clock'],10,1,
q2ynpcm47617wcno,"Open Clock app, navigate to the Alarm page, then tap the dropdown arrow on any existing alarm to expand its options",['Clock'],10,1,
hwmd33ossqbxuuav,"Open Clock app, navigate to Timer page, then set a timer for 10 minutes and start it to complete the countdown timer activation",['Clock'],20,2,
7yi6cte4dhzrnu6x,"Open Clock app, navigate to the Bedtime tab and enable the Sunrise Alarm feature by tapping its toggle switch",['Clock'],10,1,
ubyuiyaw18rd76p6,"Open Clock app, navigate to Stopwatch page, first run a test timing session of at least 15 seconds, then reset the stopwatch and verify it returns to zero",['Clock'],20,2,
rftrng7oucwl421j,"Open Clock app, navigate to the Alarm page, then tap the Vibrate option for the 06:30 weekday alarm to disable vibration",['Clock'],10,1,
swhr33vuojsub30a,"Open Clock app, navigate to the Alarm page, then disable the alarm by toggling the main alarm switch",['Clock'],10,1,
q44m5zpldmfkur14,"Open Clock app, navigate to Alarm page, then turn on the vibrate option for an existing alarm to complete alarm customization",['Clock'],10,1,
l2eedf7zmeniuyl9,"Open Clock app, navigate to the Alarm page with BeeBeep Alarm selected, tap on BeeBeep Alarm, then select 'Argon' from the available ringtone options",['Clock'],10,1,
ig2it96bqykr677a,"Open Clock app, navigate to Clock section, then tap the add button to add a new city",['Clock'],10,1,
67lp2vhgeksi10xr,"Open Clock app, navigate to Stopwatch page, then start the stopwatch and record one lap time to complete the timing session",['Clock'],20,2,
a9mvw79xzfjhqhae,"Open Clock app, navigate to Bedtime page, then tap the play button for the Waves sleep sound to preview the audio",['Clock'],10,1,
g2xd9b85bm3bgeag,"Open Clock app, navigate to Settings page, then access Timer sound settings to view available ringtone options",['Clock'],10,1,
y1mcg0ipk2t4hl14,"Open Clock app, navigate to Alarm sound page, then select 'Argon' from the Device sounds list to complete alarm sound configuration",['Clock'],10,1,
a63ltg5hhlfzhaxh,"Open Clock app, navigate to the Alarm page, tap on the 6:30 alarm to open settings, then tap the 'Add label' field to create a custom label",['Clock'],10,1,
bkyj8z97t6cb7gtv,"Open Clock app, navigate to Alarm page using the bottom navigation tabs to access alarm functions",['Clock'],10,1,
588hyvarlr09phd1,"Open Clock app, navigate to the Alarm page, then tap on the BeeBeep Alarm option to access sound selection",['Clock'],10,1,
unp78z5kcpbmiw7s,"Open Clock app, navigate to the Alarm page, then tap 'Add label' to add a custom label to the existing alarm",['Clock'],10,1,
0bjnsf15qqy31325,"Open Clock app, navigate to the Timer tab, then tap the delete button (X) to clear the current timer configuration to complete reset",['Clock'],10,1,
7wrtfstx0w80d419,"Open Clock app, navigate to the Stopwatch page, then tap the start button to begin timing",['Clock'],10,1,
j2ijrkg6cl1nei3r,"Open Clock app, navigate to Clock section, then view the current time display for the main location",['Clock'],10,1,
flryryr355bm56x1,"Open Clock app, navigate to the Timer tab, then tap the Stopwatch tab to switch to stopwatch functionality",['Clock'],10,1,
dzhgle0eicyx33xp,"Open Clock app, navigate to the Alarm page, then tap the toggle switch on any existing alarm to turn it off",['Clock'],10,1,
jeb9l9rcy64a9d4j,"Open Clock app, navigate to the Alarm page, then tap the toggle switch to turn off the 06:30 Saturday alarm to disable it",['Clock'],10,1,
egjen34apsm5q24m,"Open Clock app, navigate to the Alarm page, then add a label to an existing alarm by tapping the 'Add label' option",['Clock'],10,1,
t70mwljbk6kyzhzk,"Open Clock app, navigate to the Alarm page, then tap on the Saturday (S) day button for any existing alarm to toggle it",['Clock'],10,1,
iajhs7c2qq3ybjz8,"Open Clock app, navigate to Bedtime page, then tap the wake-up time (07:00) to adjust the morning alarm time",['Clock'],10,1,
faoaumuj0glyr99q,"Open Clock app, navigate to Alarm section, then tap the toggle switch to enable or disable an existing alarm",['Clock'],10,1,
r6fbcxk2irleqcv0,"Open Clock app, navigate to Stopwatch page, then start the stopwatch and immediately tap the pause button to stop timing",['Clock'],10,1,
zre06olb3vlsqfyg,"Open Clock app, navigate to the Alarm page, then select 'Settings' from the dropdown menu to access app settings",['Clock'],10,1,
fl13xrdlp7c3dqma,"Open Clock app, navigate to Bedtime page, first set up a sleep schedule showing 8 hours duration, then enable bedtime activity tracking by selecting 'Continue' in the recent bedtime activity dialog",['Clock'],20,2,
4jv4ff6ak6ngawis,"Open Clock app, navigate to the Alarm page, then tap the plus button to create a new alarm",['Clock'],10,1,
i8pct397uad1tis2,"Open Clock app, navigate to Bedtime page, then tap 'Continue' button to proceed with the bedtime activity tracking setup",['Clock'],10,1,
iztprgjqdo3c88d8,"Open Clock app, navigate to the Alarm page, then tap the + button to create a new alarm",['Clock'],10,1,
5sogi58sg1mk98mp,"Open Clock app, navigate to Timer page, then tap the three-dot menu button to access timer options",['Clock'],10,1,
00nicpfy8xgy6f0i,"Open Clock app, navigate to Alarm page, then toggle the vibrate setting to disable vibration",['Clock'],10,1,
jfx0xthgbjicok5w,"Open Clock app, navigate to the Stopwatch tab to access stopwatch features",['Clock'],10,1,
b8dlw9l6n22ion9x,"Open Clock app, navigate to Stopwatch page, then press the start button to begin timing",['Clock'],10,1,
l4653pmr2tbq3z94,"Open Clock app, navigate to the Bedtime tab to view bedtime settings",['Clock'],10,1,
h8xk5ju8zg80zofx,"Open Clock app, navigate to Timer page, then access Settings to complete opening Clock app settings",['Clock'],10,1,
epefpe5eesrhslku,"Open Contacts app, navigate to the Fix & manage page, then select Import from SIM option to access SIM contacts screen and verify SIM import functionality is available",['Contacts'],20,2,
418ywdcjfo5s13de,"Open Contacts app, navigate to the three-dot menu, tap on Contacts app settings, then navigate to Name format option and change it from 'Last name first' to 'First name first' to complete the name display format modification",['Contacts'],20,2,
ex3bf40m9bvgxe6w,"Open Contacts app, navigate to Fix & manage page, then select Settings and locate the Default account for new contacts option to change it from 'Device' to a different account storage location",['Contacts'],20,2,
pyhp9h2yr8rvq6xj,"Open Contacts app, navigate to Create contact page, fill in the company field as 'Tech Corp', add an email address as 'contact@techcorp.com', then change the email label from 'Home' to 'Work' to complete business contact creation",['Contacts'],20,2,
xfw8rdsv3d4hi1eh,"Open Contacts app, navigate to Fix & manage page, then select Settings and access the Phonetic name configuration to change the setting from 'Hide if empty' to 'Show always'",['Contacts'],20,2,
f92po9le6r62s7r7,"Open Contacts app, navigate to Fix & manage page, then select Settings to access the configuration options and change the Sort by option from 'Last name' to 'First name'",['Contacts'],20,2,
x7qreik7frrb2apf,"Open Contacts app, first create a contact with basic information, then navigate to the Edit Contact page and change the phone label from 'Mobile' to 'Home' using the label dropdown",['Contacts'],10,1,
wtwv5i5nyt1e8acd,"Open Contacts app, first create contacts and assign them to Project Team group, then navigate to the Project Team page and select 'Remove from label' for one contact to complete removing a member from the group",['Contacts'],10,1,
cqi3qs96ttebfdga,"Open Contacts app, navigate to the menu options, then tap on Contacts app settings to complete accessing contact settings",['Contacts'],10,1,
sqqf6dxewg8kqamd,"Open Contacts app, navigate to the main contacts page, then tap on a company filter option from the expanded company list to filter contacts by that organization",['Contacts'],10,1,
rh6ch52ia85numv1,"Open Contacts app, first access the main contacts list page, then tap the search bar and type 'John' to complete searching for contacts with that name",['Contacts'],10,1,
kycc9xgxeaeshki8,"Open Contacts app, navigate to Your info section, then tap the Add picture button to complete profile photo setup",['Contacts'],10,1,
cg8c8ianxt4bm7iz,"Open Contacts app, navigate to Create contact page, then tap the Save button to complete contact saving process",['Contacts'],10,1,
a68jtj1mxi5n79ba,"Open Contacts app, first create a new contact named 'David Brown' with phone number 555-987-6543, then navigate to David Brown's contact details page and add an email address david@company.com to complete the contact information update",['Contacts'],20,2,
5hvbgrijsllxjx2q,"Open Contacts app, navigate to Your info section, add a profile photo by taking a new photo using the camera, then save the updated profile to complete photo setup",['Contacts'],20,2,
4n55w0uluh45d0t6,"Open Contacts app, navigate to Mike Wilson's contact details page, then tap the edit icon and modify the existing address from '123 Main Street, Springfield, IL 62701' to '456 Oak Avenue, Chicago, IL 60601' to complete the address update",['Contacts'],20,2,
hi49aj3lsgds1q1t,"Open Contacts app, navigate to Fix & manage page, then select Settings and access the Name format configuration to change the display format from 'Last name first' to 'First name first'",['Contacts'],20,2,
7xsxqhuvpktdrtx6,"Open Contacts app, first create a new contact named 'Sarah Johnson' with phone number 555-0123, then navigate to Sarah Johnson's contact details page and tap 'Add to Home screen' to complete home screen shortcut creation",['Contacts'],10,1,
k2k23yz9bsycjqbs,"Open Contacts app, navigate to Create contact page, then tap the 'Add picture' button and select 'Take photo' option",['Contacts'],10,1,
0tm9cffo1vuerjsc,"Open Contacts app, navigate to Fix & manage page, then access Settings, first change the current theme setting to 'Light', modify the sort by option to 'First name', change the name format to display first name first, configure phonetic name settings to show when available, and finally update the default account for new contacts to a non-device option",['Contacts'],30,3,
ce0deoiij46ln4w5,"Open Contacts app, navigate to Fix & manage page, then tap Settings to access the Settings page, change the sort order from 'Last name' to 'First name', modify the name format from 'Last name first' to 'First name first', and finally change the default account for new contacts from 'Device' to another available account option",['Contacts'],30,3,
o8nlx42jpq1aezco,"Open Contacts app, navigate to Fix & manage page through the bottom navigation, access the Settings option, then systematically configure multiple display preferences by changing the theme to 'System default', updating the sort order to 'First name', modifying the name format to 'First name first', adjusting phonetic name display settings, and changing the default storage account for new contacts",['Contacts'],30,3,
7yduk73q2qpbia65,"Open Contacts app, begin creating a new contact by adding a picture through camera, take a photo and crop it using the photo editing tools, then fill in First name as 'Michael', add all three phonetic name fields (first, middle, last), and add both Company and Phone information before saving",['Contacts'],30,3,
1eradfe515ufsncz,"Open Contacts app, navigate to Your info section, then enter 'Emma' as First name, 'Wilson' as Last name, add company information 'Design Studio', enter two different contact methods with phone and email, and modify the phone label dropdown before saving the complete profile",['Contacts'],30,3,
tnjpvsoch9vunlq9,"Open Contacts app, navigate to Your info section, first add a profile photo using Take photo option, then fill in all phonetic name fields with 'Phonetic Last Name' as 'Smith-Pho', 'Phonetic middle name' as 'Mid-Pho', and 'Phonetic first name' as 'John-Pho' to complete phonetic name configuration",['Contacts'],30,3,
cx2i857dxtt87yzo,"Open Contacts app, navigate to the main contacts page, then tap on the 'Phone contacts' filter button to display only phone-based contacts",['Contacts'],10,1,
y6nj4mcul6vgob0z,"Open Contacts app, navigate to the Settings page, then tap on Name format option to complete accessing name display preferences",['Contacts'],10,1,
uazwiovlica1g0yi,"Open Contacts app, navigate to Create contact page, then tap the 'Add picture' button to open photo options",['Contacts'],10,1,
tsx9qpb4xw0j1sdy,"Open Contacts app, navigate to the main contacts list page, then tap the plus button to open Create contact page",['Contacts'],10,1,
qlihqst35plc7obt,"Open Contacts app, navigate to the Favorites section, then tap the search bar to activate contact search functionality",['Contacts'],10,1,
oen35bsfofu20k6p,"Open Contacts app, navigate to the Fix & manage page, then tap on 'Blocked numbers' to complete blocked numbers access",['Contacts'],10,1,
he150fpxsy00egd3,"Open Contacts app, navigate to the Create contact page, then tap the 'Add picture' button to open photo options",['Contacts'],10,1,
14uvasc90m9lr15c,"Open Contacts app, navigate to the Fix & manage page, then tap on 'Import from SIM' to access SIM card contact import",['Contacts'],10,1,
f9qalk7ig0nzgcbt,"Open Contacts app, navigate to Create contact page, then enter '555-1234' in the Phone field",['Contacts'],10,1,
06jwq6pam1ua3k3o,"Open Contacts app, navigate to Settings page, then tap on Phonetic name option to modify phonetic name display settings",['Contacts'],10,1,
5jezsob81dix2bfn,"Open Contacts app, navigate to Create contact page, then tap the Label dropdown next to Phone field to complete phone label selection",['Contacts'],10,1,
2689g515wzfq7k87,"Open Contacts app, navigate to the Fix & manage page, then tap Import from SIM to complete accessing SIM contact import",['Contacts'],10,1,
uv5r5myubhaiguwv,"Open Contacts app, navigate to the Create contact page, then tap the phone label dropdown and select 'Other' from the available options",['Contacts'],10,1,
u0bmhkmi9psfx0eh,"Open Contacts app, navigate to Create contact page, then fill in the company field as 'Google' to complete organization information",['Contacts'],10,1,
0yio44hkrzmumx26,"Open Contacts app, navigate to the contacts list page, then tap the Text button for any contact to send a message",['Contacts'],10,1,
m9v5o9gp4c4l50d4,"Open Contacts app, navigate to the Create contact page, then tap the Save button to complete contact creation",['Contacts'],10,1,
xu1v7ah5ym2ceu3i,"Open Contacts app, navigate to Email contacts tab, then tap the add contact button to complete opening the create contact form",['Contacts'],10,1,
k7836uytm53wravx,"Open Contacts app, navigate to the Contacts page, then tap the add button to complete opening the create contact form",['Contacts'],10,1,
an190y5filoheamt,"Open Contacts app, navigate to the Create contact page, then add a second email field by tapping in the empty Email field below the existing one",['Contacts'],10,1,
kcug1119a9605r5b,"Open Contacts app, navigate to Create contact page, then fill in the last name field as 'Johnson' to complete surname entry",['Contacts'],10,1,
959xkg07iywm848p,"Open Contacts app, navigate to Create contact page, and tap on the Phone label dropdown to view available phone number type options",['Contacts'],10,1,
mb85fpx60nf3evyu,"Open Contacts app, navigate to Create contact page, then enter 'John' in the First name field to complete basic contact creation",['Contacts'],10,1,
klco6g5il4w5ke2k,"Open Contacts app, navigate to Fix & manage page, then tap on Settings to complete accessing the settings configuration",['Contacts'],10,1,
fn23sq6wc26yir63,"Open Contacts app, navigate to the contacts list page and tap the hamburger menu to access the labels/groups view",['Contacts'],10,1,
6pafq31ti8g8m9vj,"Open Contacts app, navigate to Create contact page, then enter '555-123-4567' in the Phone field to complete phone number entry",['Contacts'],10,1,
3eagg7mlqdoe0nd2,"Open Contacts app, navigate to Create contact page, then fill in the phone number field as '555-1234' to complete contact phone entry",['Contacts'],10,1,
vue4hp1jmac45hac,"Open Contacts app, navigate to the search interface by tapping the search bar, then tap the back arrow to return to the main contacts page",['Contacts'],10,1,
rjjnurfhm6jbmixq,"Open Contacts app, navigate to the Contacts page, then tap on 'Create new contact' to complete contact creation setup",['Contacts'],10,1,
9lsrl9j8r9iv1my0,"Open Contacts app, navigate to Settings page, then tap on Your info option to access personal information settings",['Contacts'],10,1,
p3bnb1c3reqhi8bf,"Open Contacts app, navigate to the Fix & manage page, then tap on the 'Settings' option",['Contacts'],10,1,
ompqcwuie9mrj5ed,"Open Contacts app, navigate to Fix & manage page and select Import from SIM to access the SIM import functionality",['Contacts'],10,1,
27qz4xd1e5mxdmsn,"Open Contacts app, navigate to the search contacts page, then type 'Mike' in the search field to complete contact search",['Contacts'],10,1,
4y8y3kx4eythhloq,"Open Contacts app, navigate to the main contacts page, then tap on the 'Email contacts' filter button to show only contacts with email addresses",['Contacts'],10,1,
pl8ekpcw9u2iqaoo,"Open Contacts app, navigate to the Settings page, then tap on Sort by option to complete accessing contact sorting preferences",['Contacts'],10,1,
wv3oz6qgsx9kn10q,"Open Contacts app, navigate to Create contact page, then fill Company field with 'ABC Corp' to complete company information",['Contacts'],10,1,
iwqaiay9wh9tmv2z,"Open Contacts app, navigate to Create contact page, then enter a first name in the First name field to complete basic contact creation",['Contacts'],10,1,
hzp4cis4nr560p5r,"Open Contacts app, navigate to Phone contacts tab, then switch to Email contacts tab to complete the tab switching",['Contacts'],10,1,
5xnxzppiz6hchmi6,"Open Contacts app, navigate to the Contacts page and tap on the Create new contact option to start creating a new contact",['Contacts'],10,1,
zviervnq1foyex09,"Open Contacts app, navigate to the Voicemail page to access voicemail messages",['Contacts'],10,1,
eax5qjl5rk8klmv7,"Open Contacts app, navigate to the contacts list page, then tap the plus button to complete accessing the new contact creation interface",['Contacts'],10,1,
z185pexhrm1ozoid,"Open Contacts app, navigate to the main contacts list page, then tap on the search bar to initiate a contact search",['Contacts'],10,1,
n3a21abo77250o1w,"Open Contacts app, navigate to the bottom navigation bar, then tap on the 'Highlights' tab to switch to the highlights section",['Contacts'],10,1,
72h7qjh6rrgrfxtb,"Open Contacts app, navigate to Create contact page, then tap the Save button to complete contact creation process",['Contacts'],10,1,
1ypexs1xbfjkhpgt,"Open Contacts app, navigate to the main contacts page, then tap the search bar to activate the search functionality",['Contacts'],10,1,
xlxsnmpeaq45crmn,"Open Contacts app, navigate to Create contact page, then tap on the phone label dropdown and select 'Work' to complete phone label change",['Contacts'],10,1,
z6gqq1nnsivspn0b,"Open Contacts app, first navigate to the main contacts list, then access the menu options and select 'Select' to enter contact selection mode",['Contacts'],10,1,
w8uzd90ym1osv2wc,"Open Contacts app, navigate to a contact's detail page and tap the 'Text' button to send a message",['Contacts'],10,1,
0r39auyak12cwh2h,"Open Contacts app, navigate to the Fix & manage page and tap on the 'Import from SIM' option",['Contacts'],10,1,
obxj97rn3gjg0h2f,"Open Contacts app, navigate to Fix & manage page, then tap on Export to file to complete initiating contact backup process",['Contacts'],10,1,
qrwe7fus8fctfnwz,"Open Contacts app, navigate to Fix & manage page, then tap on 'Blocked numbers' to complete accessing call blocking settings",['Contacts'],10,1,
2e2f5vixu17htxq0,"Open Contacts app, navigate to Settings page, then tap on Default account for new contacts option to change the account setting",['Contacts'],10,1,
52n32cm7j5f0v21g,"Open Contacts app, navigate to the main contacts page, then tap on the 'Email contacts' filter button to display only email-based contacts",['Contacts'],10,1,
5c4p7gridhapnxg9,"Open Contacts app, navigate to the Fix & manage page, then tap on 'Settings' to open the contacts application settings",['Contacts'],10,1,
fciru9w48k6r5csr,"Open Contacts app, navigate to the Fix & manage page, then tap on 'Import from SIM' to access the SIM card import feature",['Contacts'],10,1,
xy44q8d08gyxv5u8,"Open Contacts app, navigate to the Contacts page, then tap on Phone contacts filter to complete switching to phone contacts view",['Contacts'],10,1,
4dsvjtnxfwgvhcte,"Open Contacts app, navigate to Create contact page, then enter 'Smith' in the Last name field to complete basic name information",['Contacts'],10,1,
ew1yo64mpms0l0l0,"Open Contacts app, navigate to Your info section, then enter 'TechCorp' in the Company field to complete work information",['Contacts'],10,1,
